iter	Passed	Remaining
852	2050	353
853	2052	350
854	2055	348
855	2057	346
856	2059	343
857	2061	341
858	2063	338
859	2065	336
860	2067	333
861	2069	331
862	2071	328
863	2073	326
864	2076	324
865	2078	321
866	2080	319
867	2082	316
868	2084	314
869	2086	311
870	2089	309
871	2091	307
872	2093	304
873	2096	302
874	2098	299
875	2100	297
876	2102	294
877	2104	292
878	2106	290
879	2108	287
880	2110	285
881	2112	282
882	2114	280
883	2117	277
884	2119	275
885	2121	273
886	2123	270
887	2126	268
888	2128	265
889	2130	263
890	2132	260
891	2134	258
892	2136	256
893	2138	253
894	2140	251
895	2142	248
896	2144	246
897	2146	243
898	2148	241
899	2150	238
900	2152	236
901	2154	234
902	2157	231
903	2159	229
904	2161	226
905	2163	224
906	2165	222
907	2167	219
908	2169	217
909	2171	214
910	2173	212
911	2175	209
912	2177	207
913	2179	205
914	2182	202
915	2184	200
916	2186	197
917	2188	195
918	2190	193
919	2192	190
920	2194	188
921	2197	185
922	2199	183
923	2201	181
924	2204	178
925	2206	176
926	2208	173
927	2210	171
928	2212	169
929	2215	166
930	2217	164
931	2219	161
932	2221	159
933	2223	157
934	2224	154
935	2227	152
936	2229	149
937	2231	147
938	2233	145
939	2235	142
940	2237	140
941	2240	137
942	2242	135
943	2244	133
944	2246	130
945	2248	128
946	2250	125
947	2252	123
948	2255	121
949	2257	118
950	2259	116
951	2261	114
952	2263	111
953	2265	109
954	2267	106
955	2270	104
956	2272	102
957	2274	99
958	2276	97
959	2279	94
960	2281	92
961	2283	90
962	2285	87
963	2287	85
964	2289	83
965	2291	80
966	2294	78
967	2296	75
968	2298	73
969	2300	71
970	2302	68
971	2304	66
972	2306	64
973	2308	61
974	2310	59
975	2312	56
976	2314	54
977	2316	52
978	2318	49
979	2320	47
980	2323	44
981	2325	42
982	2327	40
983	2329	37
984	2331	35
985	2333	33
986	2335	30
987	2337	28
988	2339	26
989	2341	23
990	2344	21
991	2346	18
992	2348	16
993	2350	14
994	2352	11
995	2354	9
996	2356	7
997	2359	4
998	2361	2
999	2363	0
